,name,hospital_id,nickname,content,date,revisit
0,365mc모인이비인후과의원,19527111,Wiseburge David,"사가정
모인 이비인후과
항상 만원이다",11.24.금,4번째 방문
1,365mc모인이비인후과의원,19527111,Dk9,좋아요,11.23.목,1번째 방문
2,365mc모인이비인후과의원,19527111,귀한집딸z,좋아요,11.20.월,2번째 방문
3,365mc모인이비인후과의원,19527111,꽃길걷는중임,항상 친절한 진료 감사합니다~ ,11.20.월,2번째 방문
4,365mc모인이비인후과의원,19527111,막둥,ㅇㅇ,11.18.토,4번째 방문
5,365mc모인이비인후과의원,19527111,막둥,ㅇㅇ,11.15.수,3번째 방문
6,365mc모인이비인후과의원,19527111,막둥,ㅇㅇ,11.13.월,2번째 방문
7,365mc모인이비인후과의원,19527111,막둥,ㅇㅇ,11.9.목,1번째 방문
8,365mc모인이비인후과의원,19527111,댄싱걸,굿,10.30.월,3번째 방문
9,365mc모인이비인후과의원,19527111,tru****,굿,10.23.월,2번째 방문
0,365서울연합의원,12907096,파랑나비ㅎ,친절해요,11.20.월,11번째 방문
1,365서울연합의원,12907096,zzi****,의욕을 복돋아주십니다,11.20.월,2번째 방문
2,365서울연합의원,12907096,halohalo26,굳,11.10.금,3번째 방문
3,365서울연합의원,12907096,바다속의진실,친절하게 상담을 잘해주네요.,11.8.수,3번째 방문
4,365서울연합의원,12907096,kimble 콜롬비아,ㄱㅅ,11.1.수,1번째 방문
5,365서울연합의원,12907096,알콩어멈19,좋아요 ,10.27.금,1번째 방문
6,365서울연합의원,12907096,misoya696998,진짜 명의세요,10.27.금,10번째 방문
7,365서울연합의원,12907096,럭키걸781,친절해요,10.26.목,4번째 방문
8,365서울연합의원,12907096,zzi****,선생님이 꼼꼼하세요^^-,10.24.화,1번째 방문
9,365서울연합의원,12907096,바다속의진실,친절하게 설명 잘 해주시네요.,10.4.수,2번째 방문
0,88병원,33650246,kyo****,친절해요 ,11.14.화,5번째 방문
1,88병원,33650246,kyo****,친절해요 ,11.10.금,4번째 방문
2,88병원,33650246,곰투가리,조아유,10.28.토,4번째 방문
3,88병원,33650246,MAY48,"김용민원장님, 신명호 원장님  에게 진료받았어요~~ 친절하시고 설명도 잘해주세요~~",10.23.월,1번째 방문
4,88병원,33650246,kyo****,친절하게 병에 대해 설명을 잘하셔오ㅡ,10.7.토,3번째 방문
5,88병원,33650246,서은자,"일반6인실인데 다른병원보다 입원실이넓다 입원선물!? 물통.양치세트.간식..수건도 받았다 간호.간병통합이라 보호자없어도되고 병실면회가 안되서 조용히 쉴수있었다 딱내스타일~ 
병원갈때 쓰던허리보호대는 갖고가보길 권장요내용 더보기",10.2.월,2번째 방문
6,88병원,33650246,곰투가리,명의 입니다.,9.18.월,3번째 방문
7,88병원,33650246,무한대7,좋아요,9.12.화,1번째 방문
8,88병원,33650246,세번보자, ,9.6.수,1번째 방문
9,88병원,33650246,spacewaltz,친절해요,9.5.화,1번째 방문
0,e-편한치과의원,19512969,7_e****,"치료기간이 6개월이 넘어 이제 끝났네요
갈때마다 묵묵히 치료 잘해주시는 원장님, 차근차근 설명 잘 해주시는 실장님,  진료실에서  친절하게 해 주시는  선생님들 다들 감사했습니다.",11.16.목,1번째 방문
1,e-편한치과의원,19512969,이해현80,봉화산역 근처 ,11.8.수,2번째 방문
2,e-편한치과의원,19512969,oesbjk14,"좋아요
",11.2.목,1번째 방문
3,e-편한치과의원,19512969,니쿠쟈가,친절해요,11.1.수,4번째 방문
4,e-편한치과의원,19512969,나도써보자,"어금니가 금이가고 크라운처리
너무 비싸다~~**",10.30.월,10번째 방문
5,e-편한치과의원,19512969,나도써보자,"왠지 믿음이 가지않는 치과 ㅠ
",10.24.화,9번째 방문
6,e-편한치과의원,19512969,필소굿72,아주 친절해요,10.16.월,1번째 방문
7,e-편한치과의원,19512969,나도써보자,여기저기가 아프네 ㅠ,10.15.일,8번째 방문
8,e-편한치과의원,19512969,나도써보자,왜 이렇게 이가 속썩이는걸까??**,9.24.일,7번째 방문
9,e-편한치과의원,19512969,qhe****,친절해요,9.8.금,1번째 방문
0,GT치과의원,34300284,아린6229,의사간호사님 다들 좋아요,11.13.월,11번째 방문
1,GT치과의원,34300284,ydniw,친철해요,11.4.토,18번째 방문
2,GT치과의원,34300284,바람의 아들59,굿,11.4.토,18번째 방문
3,GT치과의원,34300284,happy n1,데스크 친절하셔요,10.25.수,10번째 방문
4,GT치과의원,34300284,캐더린겅쥬,치료를 잘하세요,10.17.화,2번째 방문
5,GT치과의원,34300284,바람의 아들59,굿,10.7.토,17번째 방문
6,GT치과의원,34300284,ydniw,친절히 잘 봐주세요,10.7.토,17번째 방문
7,GT치과의원,34300284,happy n1,굿,9.25.월,9번째 방문
8,GT치과의원,34300284,구름비무지개,상담을 잘해주세요,9.13.수,1번째 방문
9,GT치과의원,34300284,ydniw,친절하게 잘 봐주세요,9.2.토,16번째 방문
0,LBO산치과의원,19524713,들장미21,친절해요,11.3.금,1번째 방문
1,LBO산치과의원,19524713,호갱1, ,10.25.수,1번째 방문
