Text,Positive Probability,Negative Probability
사가정 모인 이비인후과 항상 만원이다,0.5247385501861572,0.4752614200115204
좋아요,0.5612562298774719,0.4387437701225281
좋아요,0.5612562298774719,0.4387437701225281
항상 친절한 진료 감사합니다  ,0.4970967471599579,0.5029032826423645
  ,0.45653215050697327,0.5434678196907043
굿,0.5612562298774719,0.4387437701225281
굿,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
의욕을 복돋아주십니다,0.5534734129905701,0.44652655720710754
굳,0.5612562298774719,0.4387437701225281
친절하게 상담을 잘해주네요 ,0.5330674052238464,0.4669325649738312
  ,0.45653215050697327,0.5434678196907043
좋아요 ,0.5612562298774719,0.4387437701225281
진짜 명의세요,0.546775758266449,0.453224241733551
친절해요,0.5284538865089417,0.47154611349105835
선생님이 꼼꼼하세요   ,0.5552456974983215,0.4447542130947113
친절하게 설명 잘 해주시네요 ,0.5275594592094421,0.4724405109882355
친절해요 ,0.5284538865089417,0.47154611349105835
조아유,0.5539717674255371,0.44602829217910767
김용민원장님  신명호 원장님  에게 진료받았어요   친절하시고 설명도 잘해주세요  ,0.543621838092804,0.45637816190719604
친절하게 병에 대해 설명을 잘하셔오 ,0.5327202677726746,0.46727973222732544
일반 인실인데 다른병원보다 입원실이넓다 입원선물   물통 양치세트 간식  수건도 받았다 간호 간병통합이라 보호자없어도되고 병실면회가 안되서 조용히 쉴수있었다 딱내스타일   병원갈때 쓰던허리보호대는 갖고가보길 권장요내용 더보기,0.5375819206237793,0.4624180495738983
명의 입니다 ,0.5224593281745911,0.47754064202308655
좋아요,0.5612562298774719,0.4387437701225281
 ,0.45653215050697327,0.5434678196907043
친절해요,0.5284538865089417,0.47154611349105835
치료기간이  개월이 넘어 이제 끝났네요 갈때마다 묵묵히 치료 잘해주시는 원장님  차근차근 설명 잘 해주시는 실장님   진료실에서  친절하게 해 주시는  선생님들 다들 감사했습니다 ,0.5392533540725708,0.4607466459274292
봉화산역 근처 ,0.5433132648468018,0.45668670535087585
좋아요 ,0.5612562298774719,0.4387437701225281
친절해요,0.5284538865089417,0.47154611349105835
어금니가 금이가고 크라운처리 너무 비싸다    ,0.5321893095970154,0.467810720205307
