Text,Result,Probability
사가정 모인 이비인후과 항상 만원이다,부정,0.0015118290903046727
좋아요,부정,0.0009187106625176966
좋아요,부정,0.0009187106625176966
항상 친절한 진료 감사합니다~ ,부정,0.001384069211781025
ㅇㅇ,부정,0.0010887456592172384
ㅇㅇ,부정,0.0010887456592172384
ㅇㅇ,부정,0.0010887456592172384
ㅇㅇ,부정,0.0010887456592172384
굿,부정,0.0011417934438213706
굿,부정,0.0011417934438213706
친절해요,부정,0.0011850314913317561
의욕을 복돋아주십니다,부정,0.0012033168459311128
굳,부정,0.0008962902938947082
친절하게 상담을 잘해주네요.,부정,0.0015424441080540419
ㄱㅅ,부정,0.0011499233078211546
좋아요 ,부정,0.0009187106625176966
진짜 명의세요,부정,0.0009675479377619922
친절해요,부정,0.0011850314913317561
선생님이 꼼꼼하세요^^-,부정,0.0009778343373909593
친절하게 설명 잘 해주시네요.,부정,0.0013710117200389504
친절해요 ,부정,0.0011850314913317561
친절해요 ,부정,0.0011850314913317561
조아유,부정,0.0010713048977777362
"김용민원장님, 신명호 원장님  에게 진료받았어요~~ 친절하시고 설명도 잘해주세요~~",부정,0.0010605293791741133
친절하게 병에 대해 설명을 잘하셔오ㅡ,부정,0.0014127733884379268
일반6인실인데 다른병원보다 입원실이넓다 입원선물!? 물통.양치세트.간식..수건도 받았다 간호.간병통합이라 보호자없어도되고 병실면회가 안되서 조용히 쉴수있었다 딱내스타일~  병원갈때 쓰던허리보호대는 갖고가보길 권장요내용 더보기,부정,0.0016300680581480265
명의 입니다.,부정,0.0010503242956474423
좋아요,부정,0.0009187106625176966
 ,부정,0.0009877645643427968
친절해요,부정,0.0011850314913317561
"치료기간이 6개월이 넘어 이제 끝났네요 갈때마다 묵묵히 치료 잘해주시는 원장님, 차근차근 설명 잘 해주시는 실장님,  진료실에서  친절하게 해 주시는  선생님들 다들 감사했습니다.",부정,0.0012710436712950468
봉화산역 근처 ,부정,0.0010977510828524828
좋아요 ,부정,0.0009187106625176966
친절해요,부정,0.0011850314913317561
어금니가 금이가고 크라운처리 너무 비싸다~~**,부정,0.0012367096496745944
왠지 믿음이 가지않는 치과 ㅠ ,부정,0.0012540197931230068
아주 친절해요,부정,0.001352683873847127
여기저기가 아프네 ㅠ,부정,0.0011824351968243718
왜 이렇게 이가 속썩이는걸까??**,부정,0.0008867100696079433
친절해요,부정,0.0011850314913317561
의사간호사님 다들 좋아요,부정,0.0010989747243002057
친철해요,부정,0.001211122260428965
굿,부정,0.0011417934438213706
데스크 친절하셔요,부정,0.0012204397935420275
치료를 잘하세요,부정,0.001025715726427734
굿,부정,0.0011417934438213706
친절히 잘 봐주세요,부정,0.0013878396712243557
굿,부정,0.0011417934438213706
상담을 잘해주세요,부정,0.0014055153587833047
친절하게 잘 봐주세요,부정,0.001439484185539186
친절해요,부정,0.0011850314913317561
 ,부정,0.0009877645643427968
친절하고 과잉진료없고 스캘링도 잘해요,부정,0.001381665118969977
친절합니다 ,부정,0.0013185645220801234
검진 받았어요~,부정,0.0011429915903136134
"건강검진하러 갔는데, 데스크 직원들은 다리꼬고 앉아서 손님들 응대도 제대로 안함. 어수선하고 이리가라저리가라  이곳은 대기많으니 저쪽 가라. 그래서 저쪽갔는데  거기도 대기많다 고 소변검사 먼저해라.... 정말 불쾌했음. 두번다시 가고 싶지 않은곳.내용 더보기",부정,0.0013741095317527652
너무너무 불친절,부정,0.001062876428477466
굿,부정,0.0011417934438213706
친절해요,부정,0.0011850314913317561
치료가마음어들어요,부정,0.0009809063049033284
친절해요 ,부정,0.0011850314913317561
진료를 잘 봐주십니다,부정,0.0015856452519074082
설명이 친절해요,부정,0.0012948341900482774
가까운곳이라 자주 이용합니다.,부정,0.0012402612483128905
설명이 자세해요,부정,0.0011471494799479842
친절해요. ,부정,0.0014522816054522991
1진료실 화목토 원장님 잘봐주심,부정,0.0016198110533878207
👍 ,부정,0.0011939009418711066
간호사분들 원장님 모두모두 친절하셨어요 긴장했었는데 덕분에 검사 잘 받고 갑니다 👍🏻,부정,0.0012517493451014161
친절해요. ,부정,0.0014522816054522991
의사선생님께서 친절하시고  시설도 쾌적하고 좋았습니다,부정,0.001510697533376515
친절해요,부정,0.0011850314913317561
항상  친절하시고  과잉진료  안하셔서  좋아요.  ,부정,0.0010715039679780602
항상 친절하게 대해주시고 치료도 잘 해주십니다....!,부정,0.001161945634521544
 ,부정,0.0009877645643427968
친절해요,부정,0.0011850314913317561
좋아요 ,부정,0.0009187106625176966
아이들 초등학생때부터 다닌지 14년 됐는데 항상 치료도 잘 해주시고 한결 같이 친절하게 해주셔서 너무 좋습니다. ,부정,0.001199795282445848
좋아요 ,부정,0.0009187106625176966
좋아요 ,부정,0.0009187106625176966
원장님이 정성을 다해 치료해주시고 설명을 해주어 안심하고 치료를 잘 받고 있습니다 테니스웰보였는데 많이 좋아지고 있어요 ,부정,0.0015700013609603047
원장님 이 되게 친절 하고  자세 하게 설명 을 잘해주십니다,부정,0.001541639561764896
친절해요,부정,0.0011850314913317561
팔꿈치가 아파서 주 일회씩 주사를 맞고 있는데 효과가 괜찮은거 같아 좋아요,부정,0.0013550606090575457
꾸준한 물리치료받으면 서 점저 좋아지고 아음을 느낌니다,부정,0.0013464272487908602
팔굼치가 아주 불폄했는데 치료를 잘받고  있습니다,부정,0.0012237890623509884
좋아요,부정,0.0009187106625176966
ㆍ,부정,0.0012706221314147115
"근,골격계 통증이 있을때 항상 진료 받는 정형외과인데 이번엔 손가락을 베여 치료를 받았네요. 원장선생님의 세심하고 정성스런 진료 덕분에 상처가 잘 아물어 오늘 실밥을 풀었습니다 . 원장님,간호사선생님 감사합니다!내용 더보기",부정,0.0015151555417105556
자세히설명,부정,0.0013134642504155636
선생님이 핀절하시고 설명 잘 해 주십니다.,부정,0.001022309879772365
선생님과 직원분 친절하시고 치료효과도 좋아요,부정,0.0016495363088324666
주아요,부정,0.0009636117611080408
굿,부정,0.0011417934438213706
침 맞는거 무서워 긴장하고 갔는데 친절하고 자상하게 잘 치료해 주셔서 감사해요~ 덕분에 한결 좋아졌답니다~^^,부정,0.0013637853553518653
조아요 ,부정,0.0010603502159938216
너무 좋아요 체해서 속이 더 부룩했는데 침맞고 주신약을 먹었더니 완전 편해졌어요^^,부정,0.0013659322867169976
원장님이 정말 친절하시고 치료도 잘하세요. 특히 추나치료는 너무 시원합니다.  목이랑 허리가 불편했는데 한번에 시원해졌어요. 강추해요,부정,0.0021013556979596615
원장님 침도 꼼꼼히 나주시고 친절해서 좋아요 주차장이 없다는게 흠이긴 하지만요,부정,0.0013850558316335082
친절하고 침도 잘 놔주시는데 예전보다 금액이 좀 비싸졌네요~,부정,0.0009062057943083346
친절해요 ,부정,0.0011850314913317561
친절하십니다,부정,0.0014121057465672493
친절하고 잘 봐주세여~,부정,0.0013887106906622648
통원 몇번했는데 대부분 친절하시고 좋아요,부정,0.00127386802341789
내시경 받았어요. 내과쌤들 참 친절하세요🫶,부정,0.0015434578526765108
내과 검진 잘 받았어요,부정,0.0012564597418531775
잘 다녀왔어요,부정,0.0013188269222155213
굿,부정,0.0011417934438213706
굿,부정,0.0011417934438213706
굿,부정,0.0011417934438213706
굿,부정,0.0011417934438213706
원장선생님 넘  친절하시고 좋으세요,부정,0.0016944739036262035
선생님 너무 친절하세요 과잉 진료 절대 없으십니다. 어머니 아버지 할머니 모두 모시고 오고 싶은 곳입니다. 다른 병원같은 경우 더한 진료보고 더 많은 비용 청구하고 하는데 여기는 절대 그런거 없어요. 감사합니다 선생님,부정,0.0015509775839745998
친절해요,부정,0.0011850314913317561
어제 치루 수술하고 1박 입원 후 오늘 아침 퇴원하고 집으로 왔습니다. 조목조목 설명 잘해주시고 친절하고 마음이 편안합니다. 의사선생님과 간호사 여러분께 감사드립니다.,부정,0.0015519079752266407
후기대로 정말 친절하고 과잉진료도 없네요~  최고의 선택이였습니다👍👍👍,부정,0.0010982225649058819
친절해요 ,부정,0.0011850314913317561
치,부정,0.0009493332472629845
치핵4기 수술했어요 친절해요,부정,0.0013100573560222983
친절해요,부정,0.0011850314913317561
친절해요,부정,0.0011850314913317561
친절해요,부정,0.0011850314913317561
굿,부정,0.0011417934438213706
굿,부정,0.0011417934438213706
좋아요^^,부정,0.0011460882378742099
